<Property>
LANETYPE = 211
LANECODE = 01
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302047.507000	4122801.721000	29.086000
302049.141000	4122799.807000	29.088000
302050.774000	4122797.893000	29.089000
302052.407000	4122795.979000	29.091000
302054.121000	4122793.910000	29.094000
302055.835000	4122791.842000	29.098000
302057.548000	4122789.773000	29.101000
302059.262000	4122787.704000	29.104000
302060.976000	4122785.635000	29.108000
302062.689000	4122783.567000	29.111000
302064.403000	4122781.498000	29.114000
302066.117000	4122779.429000	29.118000
302067.830000	4122777.360000	29.121000
302069.525000	4122775.361000	29.099000
302071.221000	4122773.362000	29.076000
