<Property>
LANETYPE = 212
LANECODE = 03
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302599.037000	4124013.573000	28.445000
302599.431000	4124016.539000	28.427000
302599.516000	4124017.183000	28.423000
302599.695000	4124018.672000	28.416000
302599.873000	4124020.162000	28.408000
302600.051000	4124021.652000	28.401000
302600.230000	4124023.142000	28.393000
302600.462000	4124025.078000	28.383000
302600.642000	4124026.567000	28.382000
302600.823000	4124028.057000	28.381000
302601.004000	4124029.546000	28.379000
302601.184000	4124031.036000	28.378000
302601.385000	4124032.695000	28.377000
302601.757000	4124035.662000	28.377000
302602.116000	4124038.530000	28.377000
302602.291000	4124040.893000	28.376000
302602.296000	4124043.879000	28.340000
302602.305000	4124045.407000	28.364000
302602.313000	4124046.935000	28.389000
