<Property>
LANETYPE = 211
LANECODE = 07
BARRIER = 99
CODE = 1
----------
<Data>
x	y	z
302752.828000	4123304.344000	29.090000
302752.718000	4123304.147000	29.090000
302752.648000	4123303.824000	29.090000
302752.664000	4123303.485000	29.086000
302752.662000	4123300.805000	29.080000
302752.652000	4123297.805000	29.070000
302752.651000	4123297.279000	29.069000
302752.622000	4123294.279000	29.056000
302752.593000	4123291.280000	29.043000
302752.565000	4123288.280000	29.030000
302752.536000	4123285.280000	29.017000
302752.507000	4123282.280000	29.004000
302752.494000	4123280.852000	28.997000
302752.463000	4123279.971000	29.046000
302752.311000	4123277.219000	29.046000
302752.141000	4123275.629000	29.063000
302752.050000	4123274.941000	29.067000
302751.510000	4123271.990000	29.079000
302751.227000	4123270.441000	29.085000
302750.697000	4123267.488000	29.080000
302750.166000	4123264.535000	29.075000
302749.635000	4123261.583000	29.070000
302749.545000	4123261.079000	29.069000
302748.956000	4123258.138000	29.056000
302748.368000	4123255.196000	29.042000
302748.166000	4123254.183000	29.038000
