<Property>
ROADTYPE = 1
CODE = 5


----------
<Data>
x	y	z
302460.894000	4122496.343000	28.334000
302460.402000	4122495.722000	28.335000
302460.166000	4122495.427000	28.336000
302459.846000	4122495.001000	28.340000
302459.846000	4122495.001000	28.340000
302459.451000	4122494.469000	28.343000
302459.112000	4122493.988000	28.348000
302458.688000	4122493.350000	28.349000
302458.350000	4122492.826000	28.354000
302458.350000	4122492.826000	28.354000
302457.942000	4122492.165000	28.358000
302457.625000	4122491.635000	28.362000
302457.625000	4122491.635000	28.362000
302457.220000	4122490.905000	28.365000
302456.832000	4122490.168000	28.369000
302456.832000	4122490.168000	28.369000
302456.455000	4122489.398000	28.372000
302456.160000	4122488.746000	28.373000
302455.907000	4122488.161000	28.375000
302455.907000	4122488.161000	28.375000
302455.663000	4122487.542000	28.375000
302455.663000	4122487.542000	28.375000
302455.456000	4122487.012000	28.374000
302455.197000	4122486.257000	28.376000
302455.197000	4122486.257000	28.376000
302454.980000	4122485.651000	28.376000
302454.980000	4122485.651000	28.376000
302454.781000	4122484.956000	28.372000
302454.579000	4122484.215000	28.371000
302454.579000	4122484.215000	28.371000
302454.391000	4122483.454000	28.367000
302454.232000	4122482.690000	28.364000
302454.131000	4122482.100000	28.359000
302454.131000	4122482.100000	28.359000
302454.032000	4122481.487000	28.357000
302453.935000	4122480.843000	28.354000
302453.825000	4122480.009000	28.353000
302453.771000	4122479.516000	28.350000
302453.696000	4122478.891000	28.351000
302453.696000	4122478.891000	28.351000
302453.606000	4122477.830000	28.344000
302453.606000	4122477.830000	28.344000
302453.542000	4122477.077000	28.348000
302453.542000	4122477.077000	28.348000
302453.430000	4122475.682000	28.339000
302453.290000	4122473.701000	28.349000
302453.160000	4122472.018000	28.338000
302453.160000	4122472.018000	28.338000
302453.009000	4122469.796000	28.345000
302452.890000	4122468.146000	28.336000
302452.890000	4122468.146000	28.336000
302452.791000	4122466.798000	28.329000
302452.666000	4122464.897000	28.336000
302452.666000	4122464.897000	28.336000
302452.559000	4122463.402000	28.331000
302452.435000	4122461.634000	28.335000
302452.363000	4122460.723000	28.333000
302452.291000	4122459.811000	28.330000
302452.291000	4122459.811000	28.330000
302452.159000	4122457.932000	28.335000
302452.110000	4122457.134000	28.337000
302452.061000	4122456.335000	28.339000
302451.939000	4122454.721000	28.346000
302451.837000	4122453.340000	28.348000
302451.837000	4122453.340000	28.348000
302451.733000	4122451.691000	28.357000
302451.733000	4122451.691000	28.357000
302451.622000	4122450.172000	28.360000
302451.490000	4122448.342000	28.368000
302451.392000	4122446.932000	28.376000
302451.272000	4122445.317000	28.382000
